id,status,quantity,box__id,observation
323,COM,,323,planilla excel 2023
324,COM,,324,planilla excel 2023
325,COM,,325,planilla excel 2023
326,COM,,326,planilla excel 2023
327,COM,,327,planilla excel 2023
328,COM,,328,planilla excel 2023
329,COM,,329,planilla excel 2023
330,COM,,330,planilla excel 2023
331,COM,,331,planilla excel 2023
332,COM,,332,planilla excel 2023
333,COM,,333,planilla excel 2023
334,COM,,334,planilla excel 2023
335,COM,,335,planilla excel 2023
336,COM,,336,planilla excel 2023
337,COM,,337,planilla excel 2023
338,COM,,338,planilla excel 2023
339,COM,,339,planilla excel 2023
340,COM,,340,planilla excel 2023
341,COM,,341,planilla excel 2023
342,COM,,342,planilla excel 2023
343,COM,,343,planilla excel 2023
344,COM,,344,planilla excel 2023
345,COM,,345,planilla excel 2023
346,COM,,346,planilla excel 2023
347,COM,,347,planilla excel 2023
348,COM,,348,planilla excel 2023
349,COM,,349,planilla excel 2023
350,COM,,350,planilla excel 2023
351,COM,,351,planilla excel 2023
352,COM,,352,planilla excel 2023
353,COM,,353,planilla excel 2023
354,COM,,354,planilla excel 2023
355,COM,,355,planilla excel 2023
356,COM,,356,planilla excel 2023
357,COM,,357,planilla excel 2023
358,COM,,358,planilla excel 2023
359,COM,,359,planilla excel 2023
360,COM,,360,planilla excel 2023
361,COM,,361,planilla excel 2023
362,COM,,362,planilla excel 2023
363,COM,,363,planilla excel 2023
364,COM,,364,planilla excel 2023
365,COM,,365,planilla excel 2023
366,COM,,366,planilla excel 2023
367,COM,,367,planilla excel 2023
368,COM,,368,planilla excel 2023
369,COM,,369,planilla excel 2023
370,COM,,370,planilla excel 2023
371,COM,,371,planilla excel 2023
372,COM,,372,planilla excel 2023
373,COM,,373,planilla excel 2023
374,COM,,374,planilla excel 2023
375,COM,,375,planilla excel 2023
376,COM,,376,planilla excel 2023
377,COM,,377,planilla excel 2023
378,COM,,378,planilla excel 2023
379,COM,,379,planilla excel 2023
380,COM,,380,planilla excel 2023
381,COM,,381,planilla excel 2023
382,COM,,382,planilla excel 2023
383,COM,,383,planilla excel 2023
384,COM,,384,planilla excel 2023
385,COM,,385,planilla excel 2023
386,COM,,386,planilla excel 2023
387,COM,,387,planilla excel 2023
388,COM,,388,planilla excel 2023
389,COM,,389,planilla excel 2023
390,COM,,390,planilla excel 2023
391,COM,,391,planilla excel 2023
392,COM,,392,planilla excel 2023
393,COM,,393,planilla excel 2023
394,COM,,394,planilla excel 2023
395,COM,,395,planilla excel 2023
396,COM,,396,planilla excel 2023
397,COM,,397,planilla excel 2023
398,COM,,398,planilla excel 2023
399,COM,,399,planilla excel 2023
400,COM,,400,planilla excel 2023
401,COM,,401,planilla excel 2023
402,COM,,402,planilla excel 2023
403,COM,,403,planilla excel 2023
404,COM,,404,planilla excel 2023
405,COM,,405,planilla excel 2023
406,COM,,406,planilla excel 2023
407,COM,,407,planilla excel 2023
408,COM,,408,planilla excel 2023
409,COM,,409,planilla excel 2023
410,COM,,410,planilla excel 2023
411,COM,,411,planilla excel 2023
412,COM,,412,planilla excel 2023
413,COM,,413,planilla excel 2023
414,COM,,414,planilla excel 2023
415,COM,,415,planilla excel 2023
416,COM,,416,planilla excel 2023
417,COM,,417,planilla excel 2023
418,COM,,418,planilla excel 2023
419,COM,,419,planilla excel 2023
420,COM,,420,planilla excel 2023
421,COM,,421,planilla excel 2023
422,COM,,422,planilla excel 2023
423,COM,,423,planilla excel 2023
424,COM,,424,planilla excel 2023
425,COM,,425,planilla excel 2023
426,COM,,426,planilla excel 2023
427,COM,,427,planilla excel 2023
428,COM,,428,planilla excel 2023
429,COM,,429,planilla excel 2023
430,COM,,430,planilla excel 2023
431,COM,,431,planilla excel 2023
432,COM,,432,planilla excel 2023
433,COM,,433,planilla excel 2023
434,COM,,434,planilla excel 2023
435,COM,,435,planilla excel 2023
436,COM,,436,planilla excel 2023
437,COM,,437,planilla excel 2023
438,COM,,438,planilla excel 2023
439,COM,,439,planilla excel 2023
440,COM,,440,planilla excel 2023
441,COM,,441,planilla excel 2023
442,COM,,442,planilla excel 2023
443,COM,,443,planilla excel 2023
444,COM,,444,planilla excel 2023
445,COM,,445,planilla excel 2023
446,COM,,446,planilla excel 2023
447,COM,,447,planilla excel 2023
448,COM,,448,planilla excel 2023
449,COM,,449,planilla excel 2023
450,COM,,450,planilla excel 2023
451,COM,,451,planilla excel 2023
452,COM,,452,planilla excel 2023
453,COM,,453,planilla excel 2023
454,COM,,454,planilla excel 2023
455,COM,,455,planilla excel 2023
456,COM,,456,planilla excel 2023
457,COM,,457,planilla excel 2023
458,COM,,458,planilla excel 2023
459,COM,,459,planilla excel 2023
460,COM,,460,planilla excel 2023
461,COM,,461,planilla excel 2023
462,COM,,462,planilla excel 2023
463,COM,,463,planilla excel 2023
464,COM,,464,planilla excel 2023
465,COM,,465,planilla excel 2023
466,COM,,466,planilla excel 2023
467,COM,,467,planilla excel 2023
468,COM,,468,planilla excel 2023
469,COM,,469,planilla excel 2023
470,COM,,470,planilla excel 2023
471,COM,,471,planilla excel 2023
472,COM,,472,planilla excel 2023
473,COM,,473,planilla excel 2023
474,COM,,474,planilla excel 2023
475,COM,,475,planilla excel 2023
476,COM,,476,planilla excel 2023
477,COM,,477,planilla excel 2023
478,COM,,478,planilla excel 2023
479,COM,,479,planilla excel 2023
480,COM,,480,planilla excel 2023
481,COM,,481,planilla excel 2023
482,COM,,482,planilla excel 2023
483,COM,,483,planilla excel 2023
484,COM,,484,planilla excel 2023
485,COM,,485,planilla excel 2023
486,COM,,486,planilla excel 2023
487,COM,,487,planilla excel 2023
488,COM,,488,planilla excel 2023
489,COM,,489,planilla excel 2023
490,COM,,490,planilla excel 2023
491,COM,,491,planilla excel 2023
492,COM,,492,planilla excel 2023
493,COM,,493,planilla excel 2023
494,COM,,494,planilla excel 2023
495,COM,,495,planilla excel 2023
496,COM,,496,planilla excel 2023
497,COM,,497,planilla excel 2023
498,COM,,498,planilla excel 2023
499,COM,,499,planilla excel 2023
500,COM,,500,planilla excel 2023
501,COM,,501,planilla excel 2023
502,COM,,502,planilla excel 2023
503,COM,,503,planilla excel 2023
504,COM,,504,planilla excel 2023
505,COM,,505,planilla excel 2023
506,COM,,506,planilla excel 2023
507,COM,,507,planilla excel 2023
508,COM,,508,planilla excel 2023
509,COM,,509,planilla excel 2023
510,COM,,510,planilla excel 2023
511,COM,,511,planilla excel 2023
512,COM,,512,planilla excel 2023
513,COM,,513,planilla excel 2023
514,COM,,514,planilla excel 2023
515,COM,,515,planilla excel 2023
516,COM,,516,planilla excel 2023
517,COM,,517,planilla excel 2023
518,COM,,518,planilla excel 2023
519,COM,,519,planilla excel 2023
520,COM,,520,planilla excel 2023
521,COM,,521,planilla excel 2023
522,COM,,522,planilla excel 2023
523,COM,,523,planilla excel 2023
524,COM,,524,planilla excel 2023
525,COM,,525,planilla excel 2023
526,COM,,526,planilla excel 2023
527,COM,,527,planilla excel 2023
528,COM,,528,planilla excel 2023
529,COM,,529,planilla excel 2023
530,COM,,530,planilla excel 2023
531,COM,,531,planilla excel 2023
532,COM,,532,planilla excel 2023
533,COM,,533,planilla excel 2023
534,COM,,534,planilla excel 2023
535,COM,,535,planilla excel 2023
536,COM,,536,planilla excel 2023
537,COM,,537,planilla excel 2023
538,COM,,538,planilla excel 2023
539,COM,,539,planilla excel 2023
540,COM,,540,planilla excel 2023
541,COM,,541,planilla excel 2023
542,COM,,542,planilla excel 2023
543,COM,,543,planilla excel 2023
544,COM,,544,planilla excel 2023
545,COM,,545,planilla excel 2023
546,COM,,546,planilla excel 2023
547,COM,,547,planilla excel 2023
548,COM,,548,planilla excel 2023
549,COM,,549,planilla excel 2023
550,COM,,550,planilla excel 2023
551,COM,,551,planilla excel 2023
552,COM,,552,planilla excel 2023
553,COM,,553,planilla excel 2023
554,COM,,554,planilla excel 2023
555,COM,,555,planilla excel 2023
556,COM,,556,planilla excel 2023
557,COM,,557,planilla excel 2023
558,COM,,558,planilla excel 2023
559,COM,,559,planilla excel 2023
560,COM,,560,planilla excel 2023
561,COM,,561,planilla excel 2023
562,COM,,562,planilla excel 2023
563,COM,,563,planilla excel 2023
564,COM,,564,planilla excel 2023
565,COM,,565,planilla excel 2023
566,COM,,566,planilla excel 2023
567,COM,,567,planilla excel 2023
568,COM,,568,planilla excel 2023
569,COM,,569,planilla excel 2023
570,COM,,570,planilla excel 2023
571,COM,,571,planilla excel 2023
572,COM,,572,planilla excel 2023
573,COM,,573,planilla excel 2023
574,COM,,574,planilla excel 2023
575,COM,,575,planilla excel 2023
576,COM,,576,planilla excel 2023
577,COM,,577,planilla excel 2023
578,COM,,578,planilla excel 2023
579,COM,,579,planilla excel 2023
580,COM,,580,planilla excel 2023
581,COM,,581,planilla excel 2023
582,COM,,582,planilla excel 2023
583,COM,,583,planilla excel 2023
584,COM,,584,planilla excel 2023
585,COM,,585,planilla excel 2023
586,COM,,586,planilla excel 2023
587,COM,,587,planilla excel 2023
588,COM,,588,planilla excel 2023
589,COM,,589,planilla excel 2023
590,COM,,590,planilla excel 2023
591,COM,,591,planilla excel 2023
592,COM,,592,planilla excel 2023
593,COM,,593,planilla excel 2023
594,COM,,594,planilla excel 2023
595,COM,,595,planilla excel 2023
596,COM,,596,planilla excel 2023
597,COM,,597,planilla excel 2023
598,COM,,598,planilla excel 2023
599,COM,,599,planilla excel 2023
600,COM,,600,planilla excel 2023
601,COM,,601,planilla excel 2023
602,COM,,602,planilla excel 2023
603,COM,,603,planilla excel 2023
604,COM,,604,planilla excel 2023
605,COM,,605,planilla excel 2023
606,COM,,606,planilla excel 2023
607,COM,,607,planilla excel 2023
608,COM,,608,planilla excel 2023
609,COM,,609,planilla excel 2023
610,COM,,610,planilla excel 2023
611,COM,,611,planilla excel 2023
612,COM,,612,planilla excel 2023
613,COM,,613,planilla excel 2023
614,COM,,614,planilla excel 2023
615,COM,,615,planilla excel 2023
616,COM,,616,planilla excel 2023
617,COM,,617,planilla excel 2023
618,COM,,618,planilla excel 2023
619,COM,,619,planilla excel 2023
620,COM,,620,planilla excel 2023
621,COM,,621,planilla excel 2023
622,COM,,622,planilla excel 2023
623,COM,,623,planilla excel 2023
624,COM,,624,planilla excel 2023
625,COM,,625,planilla excel 2023
626,COM,,626,planilla excel 2023
